id,n_images,explicit_mention,matched_terms,options_reference_figure,n_options_ref
MM-0,2,True,figure;radiograph;shown,False,0
MM-1,2,False,,False,0
MM-2,1,True,figure;shown,False,0
MM-3,1,True,figure;image,False,0
MM-4,1,True,arrow,False,0
MM-5,1,True,figure;radiograph,False,0
MM-6,1,True,figure;image;radiograph,False,0
MM-7,6,True,figure;imaging;radiograph;shown,True,5
MM-8,1,True,image;shown,False,0
MM-9,1,False,,False,0
MM-10,1,True,image,False,0
MM-11,5,True,figure;image;radiograph,True,5
MM-12,1,True,the following,False,0
MM-13,2,True,figure;radiograph;the following,False,0
MM-14,1,False,,False,0
MM-15,1,True,figure;illustrated,False,0
MM-16,1,False,,False,0
MM-17,1,False,,False,0
MM-18,5,True,figure;the following,True,5
MM-19,1,False,,False,0
MM-20,1,True,the following,False,0
MM-21,1,False,,False,0
MM-22,1,True,graph;the following,False,0
MM-23,1,True,figure;imaging;shown,False,0
MM-24,1,True,figure;radiograph;shown,False,0
MM-25,5,False,,False,0
MM-26,1,False,,False,0
MM-27,1,True,depicted;image,False,0
MM-28,1,True,figure;shown;the following,False,0
MM-29,1,False,,False,0
MM-30,1,True,image;imaging;shown,False,0
MM-31,1,False,,False,0
MM-32,1,True,shown,False,0
MM-33,1,True,figure;image;imaging;scan;shown,False,0
MM-34,3,True,image;imaging;shown,False,0
MM-35,2,True,figure;radiograph;shown,False,0
MM-36,1,True,figure;radiograph,False,0
MM-37,1,True,image;shown,False,0
MM-38,1,True,arrow;micrograph,False,0
MM-39,1,True,figure;radiograph;the following,False,0
MM-40,1,False,,False,0
MM-41,1,False,,False,0
MM-42,2,True,figure;radiograph;scan;shown,False,0
MM-43,3,True,arrow;figure;image;the following,False,0
MM-44,5,True,figure;image;radiograph,True,5
MM-45,1,False,,False,0
MM-46,1,True,image,True,1
MM-47,1,False,,False,0
MM-48,1,False,,False,0
MM-49,1,False,,False,0
MM-50,1,True,the following,False,0
MM-51,1,True,image,False,0
MM-52,2,True,figure;shown,False,0
MM-53,1,False,,False,0
MM-54,1,True,figure;shown,False,0
MM-55,1,True,image,False,0
MM-56,1,True,shown;the following,False,0
MM-57,1,True,radiograph,False,0
MM-58,1,True,figure;radiograph;the following,False,0
MM-59,1,True,figure;shown,False,0
MM-60,1,True,figure,False,0
MM-61,1,False,,False,0
MM-62,1,True,figure,False,0
MM-63,1,False,,False,0
MM-64,1,True,figure,False,0
MM-65,1,False,,False,0
MM-66,2,True,depicted;figure;shown,False,0
MM-67,1,False,,False,0
MM-68,2,True,figure;shown,False,0
MM-69,1,True,figure,False,0
MM-70,1,True,figure;shown,False,0
MM-71,1,False,,False,0
MM-72,1,True,image,False,0
MM-73,1,True,figure;radiograph;scan,False,0
MM-74,1,False,,False,0
MM-75,1,True,figure;shown,False,0
MM-76,2,True,figure;radiograph;shown;the following,False,0
MM-77,2,True,figure;image;radiograph;shown,False,0
MM-78,1,False,,False,0
MM-79,1,True,figure;panel;shown;the following,True,1
MM-80,1,False,,False,0
MM-81,2,True,image;imaging;shown,False,0
MM-82,1,True,radiograph,False,0
MM-83,1,True,figure,False,0
MM-84,1,True,scan;the following,False,0
MM-85,1,True,shown;tracing,False,0
MM-86,1,False,,False,0
MM-87,1,True,figure,False,0
MM-88,1,True,arrow;imaging;micrograph,False,0
MM-89,1,False,,False,0
MM-90,1,False,,False,0
MM-91,1,True,figure;shown,False,0
MM-92,1,True,figure;scan,False,0
MM-93,1,True,image;shown,False,0
MM-94,3,True,figure;image,False,0
MM-95,1,False,,False,0
MM-96,1,True,figure;radiograph;the following,False,0
MM-97,2,True,depicted;figure;shown;the following,False,0
MM-98,1,False,,False,0
MM-99,1,False,,False,0
MM-100,1,False,,False,0
MM-101,1,True,figure,False,0
MM-102,1,True,shown;the following,False,0
MM-103,1,True,scan;shown,False,0
MM-104,2,True,image;the following,False,0
MM-105,1,True,image;shown;the following,False,0
MM-106,1,True,figure;radiograph;shown,False,0
MM-107,1,True,the following,False,0
MM-108,2,True,figure;radiograph;shown,False,0
MM-109,1,True,figure;radiograph;shown;the following,False,0
MM-110,1,True,depicted;figure;the following,False,0
MM-111,1,True,figure;the following,False,0
MM-112,1,True,figure;radiograph,False,0
MM-113,1,False,,False,0
MM-114,1,True,image,False,0
MM-115,1,True,figure;shown;the following,False,0
MM-116,1,False,,False,0
MM-117,1,True,shown,False,0
MM-118,2,True,figure;imaging;shown,False,0
MM-119,2,True,depicted;figure;scan;shown,False,0
MM-120,2,True,depicted;figure,False,0
MM-121,1,True,image,False,0
MM-122,6,True,figure;image;shown;the following,True,5
MM-123,1,True,figure;shown;the following,False,0
MM-124,1,True,figure;shown,False,0
MM-125,5,True,figure;radiograph;scan;shown,False,0
MM-126,1,False,,False,0
MM-127,1,True,photograph,False,0
MM-128,1,True,radiograph,False,0
MM-129,1,True,image,False,0
MM-130,1,True,imaging;scan,False,0
MM-131,2,True,figure;radiograph;scan;the following,False,0
MM-132,1,True,image,False,0
MM-133,1,True,the following,False,0
MM-134,2,True,figure;shown,False,0
MM-135,1,False,,False,0
MM-136,1,True,figure;radiograph;shown,False,0
MM-137,1,True,image,False,0
MM-138,3,True,image;imaging,False,0
MM-139,1,False,,False,0
MM-140,1,True,radiograph;shown,False,0
MM-141,1,True,image,False,0
MM-142,1,True,depicted;figure;the following,False,0
MM-143,1,False,,False,0
MM-144,1,False,,False,0
MM-145,1,True,figure;shown,False,0
MM-146,1,True,imaging;the following,False,0
MM-147,1,True,figure;the following,False,0
MM-148,2,True,radiograph,False,0
MM-149,1,True,figure;shown,False,0
MM-150,2,True,figure;illustrated;shown,False,0
MM-151,1,True,figure;image;shown;the following,False,0
MM-152,1,False,,False,0
MM-153,1,True,shown,False,0
MM-154,2,True,figure;imaging,False,0
MM-155,1,True,figure;the following,False,0
MM-156,1,True,figure;shown;the following,False,0
MM-157,3,False,,False,0
MM-158,3,True,depicted;figure,False,0
MM-159,1,True,shown;the following,False,0
MM-160,2,True,imaging,False,0
MM-161,1,True,image;the following,False,0
MM-162,1,True,figure;radiograph,False,0
MM-163,1,True,figure;shown,False,0
MM-164,1,False,,False,0
MM-165,1,False,,False,0
MM-166,1,True,the following,False,0
MM-167,1,False,,False,0
MM-168,1,False,,False,0
MM-169,2,True,figure;radiograph,False,0
MM-170,2,True,arrow;depicted,False,0
MM-171,1,True,scan,False,0
MM-172,1,True,arrow,False,0
MM-173,1,False,,False,0
MM-174,1,True,image,False,0
MM-175,1,True,radiograph;the following,False,0
MM-176,1,True,figure;shown;the following,False,0
MM-177,1,False,,False,0
MM-178,1,True,figure;shown;the following,False,0
MM-179,1,False,,False,0
MM-180,1,True,figure;the following,False,0
MM-181,1,False,,False,0
MM-182,1,True,figure;shown,False,0
MM-183,1,True,figure;radiograph,False,0
MM-184,1,False,,False,0
MM-185,1,True,figure;shown,False,0
MM-186,1,True,image;shown;the following,False,0
MM-187,1,True,figure;scan;the following,False,0
MM-188,1,True,figure;the following,False,0
MM-189,1,True,the following,False,0
MM-190,1,True,figure,False,0
MM-191,1,True,figure;image,False,0
MM-192,2,True,figure;radiograph;shown,False,0
MM-193,1,True,imaging;the following,False,0
MM-194,1,False,,False,0
MM-195,1,True,scan,False,0
MM-196,1,True,the following,False,0
MM-197,1,True,figure;radiograph;the following,False,0
MM-198,1,True,the following,False,0
MM-199,1,False,,False,0
MM-200,1,True,figure;shown,False,0
MM-201,2,True,figure;image;radiograph,False,0
MM-202,1,True,figure;image,False,0
MM-203,1,True,figure,False,0
MM-204,1,True,as seen;figure,False,0
MM-205,1,True,tracing,False,0
MM-206,2,True,figure;image,False,0
MM-207,1,False,,False,0
MM-208,1,True,image,False,0
MM-209,1,True,imaging;radiograph;the following,False,0
MM-210,1,True,image,False,0
MM-211,1,False,,False,0
MM-212,2,True,figure;radiograph;the following,False,0
MM-213,1,True,figure;shown,False,0
MM-214,1,True,depicted;figure,False,0
MM-215,1,False,,False,0
MM-216,1,False,,False,0
MM-217,3,True,figure;radiograph;shown,False,0
MM-218,1,False,,False,0
MM-219,1,True,figure;imaging;radiograph;shown,False,0
MM-220,1,False,,False,0
MM-221,1,True,shown,False,0
MM-222,1,True,figure;illustrated,False,0
MM-223,1,True,imaging;scan,False,0
MM-224,1,True,figure;scan;shown;the following,False,0
MM-225,2,True,figure;radiograph;shown,False,0
MM-226,1,True,figure;shown,False,0
MM-227,1,True,figure,False,0
MM-228,1,False,,False,0
MM-229,1,True,figure;shown,False,0
MM-230,1,True,figure;shown,False,0
MM-231,1,True,shown,False,0
MM-232,1,True,image;shown,False,0
MM-233,1,True,figure,False,0
MM-234,1,True,figure;imaging;radiograph;scan,False,0
MM-235,1,True,figure;shown,False,0
MM-236,1,True,tracing,False,0
MM-237,1,True,image;radiograph,False,0
MM-238,1,True,figure;shown,False,0
MM-239,3,True,figure;imaging;radiograph,False,0
MM-240,1,True,graph;the following,False,0
MM-241,5,True,figure;illustrated,True,5
MM-242,1,True,shown,False,0
MM-243,1,False,,False,0
MM-244,1,False,,False,0
MM-245,1,True,figure;panel;radiograph,False,0
MM-246,1,True,figure;shown,False,0
MM-247,1,True,depicted;figure,False,0
MM-248,1,True,imaging;the following,False,0
MM-249,1,True,figure;the following,False,0
MM-250,2,True,figure,False,0
MM-251,1,False,,False,0
MM-252,2,True,image,False,0
MM-253,1,True,image;shown,False,0
MM-254,1,True,figure;shown,False,0
MM-255,1,True,figure;radiograph;shown,False,0
MM-256,6,True,figure;imaging;radiograph,False,0
MM-257,1,False,,False,0
MM-258,1,True,the following,False,0
MM-259,1,True,graph;illustrated;the following,False,0
MM-260,1,True,figure;radiograph,False,0
MM-261,1,False,,False,0
MM-262,1,True,figure;radiograph;the following,False,0
MM-263,1,False,,False,0
MM-264,2,True,imaging;the following,False,0
MM-265,2,True,radiograph,False,0
MM-266,1,True,figure;imaging;shown,False,0
MM-267,5,True,figure,True,5
MM-268,1,True,imaging,False,0
MM-269,1,False,,False,0
MM-270,3,True,figure;radiograph;shown,False,0
MM-271,1,False,,False,0
MM-272,1,False,,False,0
MM-273,2,True,figure;the following,True,5
MM-274,1,True,imaging,False,0
MM-275,1,True,figure;radiograph,False,0
MM-276,1,True,the following,False,0
MM-277,1,True,figure;shown;the following,False,0
MM-278,1,True,figure,False,0
MM-279,5,True,depicted;figure,False,0
MM-280,6,True,arrow;depicted;figure;radiograph;shown,True,5
MM-281,1,True,figure;radiograph,False,0
MM-282,6,True,figure;imaging;shown,True,5
MM-283,1,True,imaging;scan,False,0
MM-284,2,True,scan,False,0
MM-285,1,True,image,False,0
MM-286,1,True,figure;scan;shown,False,0
MM-287,5,True,depicted;figure,True,5
MM-288,1,False,,False,0
MM-289,1,True,image;panel;the following,False,0
MM-290,1,True,image;shown;the following,False,0
MM-291,2,True,the following,False,0
MM-292,1,True,figure;shown,False,0
MM-293,1,True,figure;radiograph;shown,False,0
MM-294,1,True,image;shown,False,0
MM-295,1,True,shown,False,0
MM-296,1,True,figure;shown;the following,False,0
MM-297,1,True,figure;shown,False,0
MM-298,1,True,arrow;depicted;image,False,0
MM-299,1,True,figure;shown,False,0
MM-300,1,True,figure;scan;shown,False,0
MM-301,5,True,figure;image;radiograph,True,5
MM-302,1,True,radiograph,False,0
MM-303,1,True,shown,False,0
MM-304,5,True,figure;the following,True,5
MM-305,1,False,,False,0
MM-306,1,True,image;the following,False,0
MM-307,6,True,figure;radiograph,True,5
MM-308,1,True,figure;scan;shown,False,0
MM-309,1,True,figure;shown,False,0
MM-310,1,False,,False,0
MM-311,2,True,image;imaging;shown,True,2
MM-312,3,True,figure;shown,False,0
MM-313,1,False,,False,0
MM-314,1,False,,False,0
MM-315,1,True,figure,False,0
MM-316,2,True,as seen;figure;radiograph;the following,False,0
MM-317,1,True,figure;image;shown;the following,False,0
MM-318,2,True,figure;shown;the following,True,3
MM-319,4,True,depicted;figure;image,False,0
MM-320,1,True,micrograph;the following,False,0
MM-321,1,True,figure;shown,False,0
MM-322,1,True,photograph;shown,False,0
MM-323,1,True,imaging,False,0
MM-324,1,True,the following,False,0
MM-325,2,True,scan;the following,False,0
MM-326,1,True,figure;radiograph,False,0
MM-327,1,True,figure;shown,False,0
MM-328,1,True,image,False,0
MM-329,1,False,,False,0
MM-330,1,False,,False,0
MM-331,1,False,,False,0
MM-332,2,True,figure;shown,False,0
MM-333,1,True,figure;shown,False,0
MM-334,1,True,figure;shown,False,0
MM-335,1,True,figure;image,False,0
MM-336,1,False,,False,0
MM-337,3,True,figure;radiograph;shown,False,0
MM-338,1,False,,False,0
MM-339,2,True,image;scan;shown,False,0
MM-340,2,True,figure;radiograph;shown,False,0
MM-341,1,False,,False,0
MM-342,6,True,figure;shown;the following,True,5
MM-343,1,False,,False,0
MM-344,1,True,figure;shown,False,0
MM-345,1,True,imaging;the following,False,0
MM-346,1,True,figure,False,0
MM-347,1,False,,False,0
MM-348,1,False,,False,0
MM-349,2,True,figure;radiograph;shown,False,0
MM-350,3,True,figure;photograph;radiograph;shown;slide;the following,False,0
MM-351,1,True,figure;shown,False,0
MM-352,1,True,panel;shown,False,0
MM-353,1,True,figure;scan;shown,False,0
MM-354,1,False,,False,0
MM-355,2,True,as seen;figure;radiograph,False,0
MM-356,5,True,figure;radiograph,True,5
MM-357,1,False,,False,0
MM-358,1,True,image;shown,False,0
MM-359,1,False,,False,0
MM-360,1,False,,False,0
MM-361,1,True,figure;shown,False,0
MM-362,1,True,figure;shown,False,0
MM-363,1,False,,False,0
MM-364,4,True,figure;image,False,0
MM-365,1,True,the following,False,0
MM-366,1,True,image;shown;the following,False,0
MM-367,1,True,the following,False,0
MM-368,1,True,image;panel;shown,True,2
MM-369,4,True,image,False,0
MM-370,5,True,figure;radiograph;the following,True,5
MM-371,1,True,figure,False,0
MM-372,1,True,figure;shown;the following,False,0
MM-373,1,True,image,False,0
MM-374,5,True,figure;imaging;radiograph;shown,False,0
MM-375,1,True,the following,False,0
MM-376,1,True,micrograph;the following,False,0
MM-377,1,False,,False,0
MM-378,1,True,figure;shown,False,0
MM-379,1,False,,False,0
MM-380,1,False,,False,0
MM-381,2,False,,False,0
MM-382,3,True,figure;radiograph;shown,False,0
MM-383,5,True,figure;radiograph;scan;shown,False,0
MM-384,1,False,,False,0
MM-385,1,False,,False,0
MM-386,1,True,figure;imaging;radiograph;the following,False,0
MM-387,1,True,figure;image,False,0
MM-388,1,True,scan;shown;the following,False,0
MM-389,2,True,figure;illustrated;the following,False,0
MM-390,2,True,image,False,0
MM-391,1,True,scan,False,0
MM-392,1,True,arrow;figure,False,0
MM-393,1,True,figure;radiograph,False,0
MM-394,1,False,,False,0
MM-395,1,False,,False,0
MM-396,1,True,the following,False,0
MM-397,1,True,figure;radiograph;shown,False,0
MM-398,1,True,image,False,0
MM-399,1,True,the following,False,0
MM-400,2,True,figure;radiograph;scan;shown,False,0
MM-401,2,False,,False,0
MM-402,1,True,the following,False,0
MM-403,1,True,image;shown;the following,False,0
MM-404,4,True,figure;radiograph,False,0
MM-405,1,False,,False,0
MM-406,2,True,image,False,0
MM-407,1,True,figure;panel;radiograph;the following,False,0
MM-408,1,True,the following,False,0
MM-409,1,True,figure;radiograph;the following,False,0
MM-410,1,True,depicted;figure,False,0
MM-411,2,True,figure;radiograph;shown;the following,True,5
MM-412,1,False,,False,0
MM-413,1,True,figure;the following,False,0
MM-414,1,True,the following,False,0
MM-415,2,True,figure;shown;the following,False,0
MM-416,1,True,image;shown;the following,False,0
MM-417,1,True,figure;radiograph,False,0
MM-418,1,True,shown,False,0
MM-419,1,True,figure,False,0
MM-420,2,True,image;shown;the following,False,0
MM-421,2,True,image;radiograph;shown,False,0
MM-422,1,True,figure;radiograph,False,0
MM-423,5,True,figure;image;the following,True,5
MM-424,1,True,image;shown;the following,False,0
MM-425,1,True,the following,False,0
MM-426,1,True,depicted;figure,False,0
MM-427,1,True,figure,False,0
MM-428,1,True,figure;shown;the following,False,0
MM-429,2,True,image,False,0
MM-430,2,True,figure;image;imaging;radiograph;shown,False,0
MM-431,1,False,,False,0
MM-432,1,True,depicted;figure,False,0
MM-433,2,True,figure;radiograph,False,0
MM-434,1,False,,False,0
MM-435,1,False,,False,0
MM-436,1,True,image;imaging;shown;the following,False,0
MM-437,1,False,,False,0
MM-438,1,True,figure;radiograph,False,0
MM-439,1,True,image;shown;the following,False,0
MM-440,1,True,figure;shown,False,0
MM-441,1,True,figure;photograph;the following,False,0
MM-442,1,True,figure,False,0
MM-443,1,True,figure;the following,False,0
MM-444,1,True,scan,False,0
MM-445,1,False,,False,0
MM-446,1,True,radiograph,False,0
MM-447,1,True,shown,False,0
MM-448,1,True,figure;shown,False,0
MM-449,1,False,,False,0
MM-450,1,False,,False,0
MM-451,1,False,,False,0
MM-452,1,True,figure;scan;shown,False,0
MM-453,4,True,figure;image;radiograph;scan;shown;slide,False,0
MM-454,2,True,figure;radiograph,False,0
MM-455,1,True,the following,False,0
MM-456,1,True,depicted;figure,False,0
MM-457,2,True,figure;radiograph;scan;shown,False,0
MM-458,3,True,figure;illustrated;shown,False,0
MM-459,1,True,image;shown;the following,False,0
MM-460,1,True,image;shown,False,0
MM-461,1,False,,False,0
MM-462,1,True,figure;shown,False,0
MM-463,1,False,,False,0
MM-464,1,True,figure;shown,False,0
MM-465,2,True,figure;radiograph;shown,False,0
MM-466,1,False,,False,0
MM-467,1,True,depicted;image,False,0
MM-468,1,True,radiograph;shown,False,0
MM-469,1,True,depicted;figure,False,0
MM-470,1,True,figure;panel;shown,False,0
MM-471,1,True,depicted;figure;shown,False,0
MM-472,1,True,image;radiograph;the following,False,0
MM-473,5,True,figure;the following,True,5
MM-474,1,True,figure;shown;the following,False,0
MM-475,1,True,figure;image,False,0
MM-476,1,True,radiograph;scan,False,0
MM-477,1,True,figure;scan;the following,False,0
MM-478,1,False,,False,0
MM-479,1,True,the following,False,0
MM-480,1,True,figure;scan;shown;the following,False,0
MM-481,2,True,figure;imaging;radiograph;shown;the following,False,0
MM-482,1,True,figure,False,0
MM-483,1,True,the following,False,0
MM-484,1,True,depicted;figure,False,0
MM-485,1,True,the following,False,0
MM-486,1,True,the following,False,0
MM-487,1,False,,False,0
MM-488,1,True,photograph;shown,False,0
MM-489,1,True,image,False,0
MM-490,1,True,figure;shown,False,0
MM-491,1,False,,False,0
MM-492,1,True,image;scan,False,0
MM-493,1,True,figure;scan,False,0
MM-494,4,True,figure;radiograph;shown;the following,False,0
MM-495,1,True,figure;radiograph,False,0
MM-496,2,True,figure,False,0
MM-497,1,True,shown,False,0
MM-498,2,True,figure,False,0
MM-499,1,True,figure,False,0
MM-500,1,True,depicted;figure,False,0
MM-501,1,True,depicted;figure,False,0
MM-502,1,True,scan;the following,False,0
MM-503,1,True,figure;radiograph;shown,False,0
MM-504,1,True,shown,False,0
MM-505,2,True,radiograph,False,0
MM-506,1,True,figure;radiograph;shown,False,0
MM-507,1,True,arrow;figure;shown;the following,False,0
MM-508,1,True,image;shown,False,0
MM-509,1,True,graph,False,0
MM-510,1,True,figure;shown,False,0
MM-511,1,True,image,False,0
MM-512,1,True,panel,False,0
MM-513,1,True,the following,False,0
MM-514,1,True,depicted;image,False,0
MM-515,1,True,the following,False,0
MM-516,1,True,depicted;figure,False,0
MM-517,1,True,image;shown;the following,False,0
MM-518,1,False,,False,0
MM-519,1,True,figure,False,0
MM-520,2,True,figure;imaging;shown,False,0
MM-521,1,True,shown,False,0
MM-522,1,True,figure;shown;the following,False,0
MM-523,1,False,,False,0
MM-524,2,True,depicted;figure;shown,False,0
MM-525,2,True,figure;radiograph;shown,False,0
MM-526,1,True,figure;imaging,False,0
MM-527,1,False,,False,0
MM-528,1,True,the following,False,0
MM-529,1,True,image,False,0
MM-530,3,False,,False,0
MM-531,1,True,graph,False,0
MM-532,1,False,,False,0
MM-533,1,True,micrograph;shown,False,0
MM-534,3,True,figure;shown,False,0
MM-535,1,False,,False,0
MM-536,2,True,depicted;figure;radiograph;shown,False,0
MM-537,1,True,as seen;figure;the following,False,0
MM-538,1,True,figure;shown;the following,False,0
MM-539,1,True,shown;the following;tracing,False,0
MM-540,1,False,,False,0
MM-541,1,True,figure;the following,False,0
MM-542,1,True,image;shown;the following,False,0
MM-543,1,False,,False,0
MM-544,1,True,depicted;figure;the following,False,0
MM-545,1,True,figure;the following,False,0
MM-546,3,True,figure;image;radiograph;shown,False,0
MM-547,5,True,figure;radiograph,True,5
MM-548,6,True,figure;image;radiograph,False,0
MM-549,1,False,,False,0
MM-550,1,False,,False,0
MM-551,2,True,image;shown,False,0
MM-552,2,True,figure;radiograph,False,0
MM-553,1,True,radiograph,False,0
MM-554,1,False,,False,0
MM-555,1,True,figure;image,False,0
MM-556,2,True,image;the following,False,0
MM-557,1,True,radiograph;shown,False,0
MM-558,1,True,figure;radiograph;shown,False,0
MM-559,1,True,image,False,0
MM-560,1,False,,False,0
MM-561,1,False,,False,0
MM-562,2,True,image,False,0
MM-563,1,False,,False,0
MM-564,2,True,image;radiograph;shown;the following,False,0
MM-565,4,True,figure;panel;shown,False,0
MM-566,1,True,figure;image;the following,False,0
MM-567,2,False,,False,0
MM-568,1,True,imaging;radiograph;shown,False,0
MM-569,1,True,image;imaging;shown,False,0
MM-570,1,False,,False,0
MM-571,1,True,figure,False,0
MM-572,1,True,image;radiograph;shown;the following,False,0
MM-573,1,True,figure,False,0
MM-574,1,True,figure;imaging;shown,False,0
MM-575,1,True,imaging,False,0
MM-576,1,True,scan,False,0
MM-577,2,True,figure;shown,False,0
MM-578,1,True,figure;shown,False,0
MM-579,1,True,the following,False,0
MM-580,1,True,figure;shown;the following,False,0
MM-581,1,False,,False,0
MM-582,4,True,figure;image;radiograph;shown,False,0
MM-583,1,True,scan;the following,False,0
MM-584,2,True,figure;shown,False,0
MM-585,1,False,,False,0
MM-586,1,True,image;the following,False,0
MM-587,3,True,depicted;figure,False,0
MM-588,2,True,figure;radiograph;shown,False,0
MM-589,1,True,figure;radiograph,False,0
MM-590,1,True,image;scan,False,0
MM-591,1,True,radiograph,False,0
MM-592,1,True,figure,False,0
MM-593,1,True,scan,False,0
MM-594,1,True,figure;shown;the following,False,0
MM-595,1,True,the following,False,0
MM-596,1,False,,False,0
MM-597,2,True,figure;shown,False,0
MM-598,1,False,,False,0
MM-599,1,True,radiograph;shown;the following,False,0
MM-600,5,True,figure;image;radiograph,True,5
MM-601,1,True,arrow;the following;tracing,False,0
MM-602,2,True,radiograph,False,0
MM-603,5,True,depicted;figure,True,5
MM-604,2,True,figure;photograph;radiograph;the following,False,0
MM-605,1,True,image;scan,False,0
MM-606,2,True,image;shown,False,0
MM-607,4,True,figure,False,0
MM-608,1,True,figure,False,0
MM-609,5,True,figure;the following,True,5
MM-610,1,True,figure;radiograph;shown,False,0
MM-611,3,True,figure;radiograph,False,0
MM-612,1,True,shown,False,0
MM-613,2,False,,False,0
MM-614,1,True,figure;shown,False,0
MM-615,1,True,figure,False,0
MM-616,1,False,,False,0
MM-617,3,True,figure;photograph;radiograph;shown,False,0
MM-618,4,True,figure;image;imaging;radiograph,False,0
MM-619,1,True,radiograph,False,0
MM-620,2,True,figure;the following,False,0
MM-621,1,True,arrow;the following,False,0
MM-622,4,True,figure;image;radiograph,False,0
MM-623,1,True,figure;graph,False,0
MM-624,1,False,,False,0
MM-625,1,False,,False,0
MM-626,1,True,image;shown,False,0
MM-627,1,False,,False,0
MM-628,1,False,,False,0
MM-629,1,True,image;shown;the following,False,0
MM-630,1,False,,False,0
MM-631,1,True,figure;radiograph;shown;the following,False,0
MM-632,1,True,image;shown;the following,False,0
MM-633,1,True,the following,False,0
MM-634,2,True,figure;radiograph;scan,False,0
MM-635,1,True,the following,False,0
MM-636,3,True,figure,False,0
MM-637,1,True,scan;the following,False,0
MM-638,1,False,,False,0
MM-639,1,True,figure;shown,False,0
MM-640,1,False,,False,0
MM-641,1,True,figure;shown,False,0
MM-642,2,True,figure;image;radiograph,False,0
MM-643,1,False,,False,0
MM-644,6,True,figure;image;shown;the following,True,5
MM-645,1,False,,False,0
MM-646,1,True,figure,False,0
MM-647,1,False,,False,0
MM-648,1,True,figure;radiograph;the following,False,0
MM-649,1,False,,False,0
MM-650,1,True,figure;radiograph,False,0
MM-651,1,True,figure,False,0
MM-652,1,False,,False,0
MM-653,1,True,image,False,0
MM-654,1,True,arrow;image,False,0
MM-655,2,False,,False,0
MM-656,1,False,,False,0
MM-657,2,True,figure;radiograph;shown,False,0
MM-658,1,True,graph,False,0
MM-659,1,False,,False,0
MM-660,1,False,,False,0
MM-661,1,False,,False,0
MM-662,1,False,,False,0
MM-663,2,True,image;imaging;scan;shown,False,0
MM-664,1,True,figure;radiograph;shown,False,0
MM-665,1,True,image,False,0
MM-666,1,True,depicted;figure;radiograph,False,0
MM-667,1,True,figure;radiograph;shown,False,0
MM-668,1,True,shown;the following,False,0
MM-669,1,True,depicted;figure,False,0
MM-670,1,False,,False,0
MM-671,1,True,figure;radiograph,False,0
MM-672,1,False,,False,0
MM-673,5,True,figure;radiograph,True,5
MM-674,1,False,,False,0
MM-675,1,True,figure;shown;the following,False,0
MM-676,1,True,scan,False,0
MM-677,1,True,figure,False,0
MM-678,1,True,shown,False,0
MM-679,1,True,the following,False,0
MM-680,1,False,,False,0
MM-681,1,True,figure;shown,False,0
MM-682,1,True,image;shown;the following,False,0
MM-683,1,False,,False,0
MM-684,5,True,figure;image,True,5
MM-685,1,False,,False,0
MM-686,1,False,,False,0
MM-687,2,True,figure,False,0
